,efectivo
0,10230100.13
1,9719067.341
2,10244442.51
3,10312632.37
4,10147613.34
5,10565493.5
6,10905912.74
7,11041625.27
8,10789170.33
9,11220307.43
10,11657995.8
11,13710305.37
12,11705433.57
13,10720300.95
14,12955730.46
15,11685359.59
16,11925300.09
17,13517215.49
18,14061294.34
19,13783068.02
20,14307986.24
21,15413337.43
22,15412653.11
23,19372979.31
24,16005633.83
25,15466783.51
26,17737278.5
27,17102015.74
28,17247751.27
29,17995550.11
30,18548992.46
31,19745340.25
32,19561438.28
33,21884744.73
34,22763201.55
35,27960470.5
36,25121140.42
37,23982883.64
38,26532575.53
39,22263621.15
40,24917663.39
41,24031410.14
42,24935747.29
43,24868416.65
44,24268469.26
45,27348110.5
46,28832513.45
47,36284788.05
48,31878415.61
49,30090418.94
50,33646699.76
51,33030717.34
52,33391018.41
53,34735136.74
54,37973547.56
55,38180625.56
56,38080750.86
57,43323345.69
58,43762928.15
59,56640033.15
60,46962602.22
61,46290956.21
62,51262080.99
63,53189998.68
64,52738110.62
