,ventas_totales_canal_venta
0,27858872.08
1,25994200.17
2,27780006.52
3,29134272.22
4,27969004.68
5,29132712.74
6,31182302.46
7,31154880.94
8,30521506.2
9,32445983.01
10,33628982.66
11,40766322.1
12,3208.00557
13,31736824.55
14,36531291.33
15,34113745.67
16,35133146.39
17,38338209.75
18,39278449.96
19,39491907.27
20,39925549.0
21,43420253.82
22,44849446.01
23,57203955.86
24,45433623.71
25,44592144.9
26,51065694.25
27,49621409.28
28,50778299.91
29,54413419.61
30,55044482.26
31,59672104.46
32,57885306.41
33,66325579.59
34,67943710.19
35,83524644.29
36,70145010.27
37,72494433.66
38,85778031.09
39,75009596.64
40,78594521.82
41,78232859.6
42,81140696.22
43,80411973.29
44,77055774.36
45,89224281.05
46,91093507.31
47,115806128.1
48,98007583.25
49,92954233.68
50,107225884.5
51,106870185.9
52,110604694.6
53,116287893.0
54,125658552.5
55,124840320.0
56,123002252.4
57,140487487.3
58,141701960.7
59,183983151.9
60,154517094.2
61,152202573.4
62,168982502.3
63,177148082.8
64,179639238.6
